,language,glottocode,lemma,pos,reference,meaning_ru,target_ipa,russian_ipa,metathesis,problems
491,Botlikh,botl1242,дайа́рка,noun,"Saidova, Abusov 2012",доярка,d-a-j-'a-r-k-a,d-O-j-'a-r-k-A,,
492,Godoberi,ghod1238,ДАЙÁРКЯ,,Saidova 2006,доярка,d-a-j-'a-r-kʲ-a,d-O-j-'a-r-k-A,,
493,Avar,avar1256,докла́д,,Gimbatov 2006,доклад,d-o-k-l-'a-d,d-O-k-l-'a-D,,
494,Bagvalal,bagv1239,ДАКЛÁД,,Magomedova 2004,доклад,d-a-k-l-'a-d,d-O-k-l-'a-D,,
495,Botlikh_Al,botl1242,дакла́д,noun,"Alekseev, Azayev 2019",доклад,d-a-k-l-'a-d,d-O-k-l-'a-D,,
496,Botlikh,botl1242,дакла́д,noun,"Saidova, Abusov 2012",доклад,d-a-k-l-'a-d,d-O-k-l-'a-D,,
497,Godoberi,ghod1238,ДАКЛÁД/И,,Saidova 2006,доклад,d-a-k-l-'a-d-i,d-O-k-l-'a-D-0,,
498,Avar,avar1256,докла́дч/и,,Gimbatov 2006,докладчик,d-o-k-l-'a-d-tʃ-i-0,d-O-k-l-'a-D-tɕ-I-k,,
499,Godoberi,ghod1238,ДАКЛÁДЧИ,,Saidova 2006,докладчик,d-a-k-l-'a-d-tʃ-i-0,d-O-k-l-'a-D-tɕ-I-k,,
500,Avar,avar1256,докумéнт,,Gimbatov 2006,документ,d-o-k-u-m-'e-n-t,d-O-k-U-mʲ-'e-n-t,,
501,Bagvalal,bagv1239,ДАЌУМЕᴴТ,,Magomedova 2004,документ,d-a-k-'u-m-ẽ-0-t,d-O-k-U-mʲ-'e-n-t,,
502,Botlikh,botl1242,дакуме́нт,noun,"Saidova, Abusov 2012",документ,d-a-k-u-m-'e-n-t,d-O-k-U-mʲ-'e-n-t,,
503,Botlikh_Al,botl1242,даку́мент,noun,"Alekseev, Azayev 2019",документ,d-a-k-'u-m-e-n-t,d-O-k-U-mʲ-'e-n-t,,
504,Godoberi,ghod1238,ДАКУМÉНТ/И,,Saidova 2006,документ,d-a-k-u-m-'e-n-t-i,d-O-k-U-mʲ-'e-n-t-0,,
505,Botlikh_Al,botl1242,дакумента́ци,noun,"Alekseev, Azayev 2019",документация,d-a-k-u-m-e-n-t-'a-ts-i-0-0,d-O-k-U-mʲ-E-n-t-'a-ts-I-j-A,,
506,Avar,avar1256,домкра́т,,Gimbatov 2006,домкрат,d-o-m-k-r-'a-t,d-O-m-k-r-'a-t,,
507,Botlikh_Al,botl1242,дамкра́т,noun,"Alekseev, Azayev 2019",домкрат,d-a-m-k-r-'a-t,d-O-m-k-r-'a-t,,
508,Avar,avar1256,доминó,,Gimbatov 2006,домино,d-o-m-i-n-'o,d-O-mʲ-I-n-'o,,
509,Bagvalal,bagv1239,ДАМИНÓ,,Magomedova 2004,домино,d-a-m-i-n-'o,d-O-mʲ-I-n-'o,,
510,Botlikh_Al,botl1242,домино́,noun,"Alekseev, Azayev 2019",домино,d-o-m-i-n-'o,d-O-mʲ-I-n-'o,,
511,Godoberi,ghod1238,ДАМИНÓ,,Saidova 2006,домино,d-a-m-i-n-'o,d-O-mʲ-I-n-'o,,
512,Botlikh_Al,botl1242,дапро́с,noun,"Alekseev, Azayev 2019",допрос,d-a-p-r-'o-s,d-O-p-r-'o-s,,
513,Akhvakh,akhv1239,да'ска,noun,"Magomedova, Abdulayeva 2007",доска,d-'a-s-k-a,d-O-s-k-'a,,
514,Bagvalal,bagv1239,ДÁСКА,,Magomedova 2004,доска,d-'a-s-k-a,d-O-s-k-'a,,
515,Botlikh,botl1242,даск/а́,noun,"Saidova, Abusov 2012",доска,d-a-s-k-'a,d-O-s-k-'a,,
516,Botlikh_Al,botl1242,даска́,noun,"Alekseev, Azayev 2019",доска,d-a-s-k-'a,d-O-s-k-'a,,
517,Avar,avar1256,доцéнт,,Gimbatov 2006,доцент,d-o-ts-'e-n-t,d-O-ts-'e-n-t,,
518,Botlikh_Al,botl1242,даце́нт,noun,"Alekseev, Azayev 2019",доцент,d-a-ts-'e-n-t,d-O-ts-'e-n-t,,
519,Avar,avar1256,дохóд,,Gimbatov 2006,доход,d-o-χ-'o-d,d-O-x-'o-D,,
520,Botlikh,botl1242,дахо́д,,"Saidova, Abusov 2012",доход,d-a-χ-'o-d,d-O-x-'o-D,,
521,Avar,avar1256,дра́ма,,Gimbatov 2006,драма,d-r-'a-m-a,d-r-'a-m-A,,
522,Botlikh_Al,botl1242,дра́ма,,"Alekseev, Azayev 2019",драма,d-r-'a-m-a,d-r-'a-m-A,,
523,Avar,avar1256,драп,,Gimbatov 2006,драп,d-r-a-p,d-r-'a-p,,
524,Botlikh_Al,botl1242,ду́ржина,noun,"Alekseev, Azayev 2019",дружина,d-'u-r-ʒ-i-n-a,d-r-U-ʐ-'i-n-a,1,
525,Botlikh_Al,botl1242,дуржи́никI,noun,"Alekseev, Azayev 2019",дружинник,d-u-r-ʒ-'i-n-i-k',d-r-U-ʐ-'i-nʲ-i-k,1,
526,Avar,avar1256,дуэл/ь,,Gimbatov 2006,дуэль,d-u-e-l,d-U-'e-lʲ,,
527,Botlikh_Al,botl1242,дуъе́л,noun,"Alekseev, Azayev 2019",дуэль,d-u-ʔ-'e-l,d-U-0-'e-lʲ,,
528,Botlikh_Al,botl1242,дубли́роват игьи́,verb,"Alekseev, Azayev 2019",дублировать,d-u-b-l-'i-r-o-w-a-t,d-U-b-lʲ-'i-r-O-v-A-tʲ,,
529,Avar,avar1256,дублика́т,,Gimbatov 2006,дубликат,d-u-b-l-i-k-'a-t,d-U-b-lʲ-I-k-'a-t,,
530,Botlikh_Al,botl1242,дублика́т,noun,"Alekseev, Azayev 2019",дубликат,d-u-b-l-i-k-'a-t,d-U-b-lʲ-I-k-'a-t,,
531,Avar,avar1256,душ,,Gimbatov 2006,душ,d-u-ʃ,d-'u-ʃ,,
532,Botlikh_Al,botl1242,душ,noun,"Alekseev, Azayev 2019",душ,d-u-ʃ,d-'u-ʃ,,
533,Botlikh,botl1242,тохо́бка,noun,"Saidova, Abusov 2012",духовка,t-o-χ-'o-b-k-a,d-U-x-'o-V-k-A,,
534,Avar,avar1256,духѝ,,Gimbatov 2006,духи,d-u-x-'i,d-U-xʲ-'i,,
535,Chamalal,cham1309,ДУХЬИ́,noun IV,Magomedova 1999,духи,d-u-x-'i,d-U-xʲ-'i,,
536,Avar,avar1256,дѝктор,,Gimbatov 2006,диктор,d-'i-k-t-o-r,dʲ-'i-k-t-O-r,,
537,Botlikh_Al,botl1242,ди́ктор,noun,"Alekseev, Azayev 2019",диктор,d-'i-k-t-o-r,dʲ-'i-k-t-O-r,,
538,Botlikh_Al,botl1242,ди́ска,noun,"Alekseev, Azayev 2019",диск,d-'i-s-k-a,dʲ-'i-s-k-0,,
539,Botlikh_Al,botl1242,дедо́м,noun,"Alekseev, Azayev 2019",детдом,d-e-d-0-'o-m,dʲ-e-T-d-'o-m,,
540,Botlikh_Al,botl1242,дед-маро́з,noun,"Alekseev, Azayev 2019",дед мороз,d-e-d-m-a-r-'o-z,dʲ-E-D-m-O-r-'o-Z,,
541,Avar,avar1256,дека́бр/ь,,Gimbatov 2006,декабрь,d-e-k-'a-b-r,dʲ-E-k-'a-b-rʲ,,
542,Bagvalal,bagv1239,ДЕКÁБИРБО̄С̄I,,Magomedova 2004,декабрь,d-e-k-'a-b-i-r,dʲ-E-k-'a-b-0-rʲ,,
543,Botlikh_Al,botl1242,дика́бир,noun,"Alekseev, Azayev 2019",декабрь,d-i-k-'a-b-i-r,dʲ-E-k-'a-b-0-rʲ,,
544,Avar,avar1256,дека́н,,Gimbatov 2006,декан,d-e-k-'a-n,dʲ-E-k-'a-n,,
545,Botlikh_Al,botl1242,дика́н,noun,"Alekseev, Azayev 2019",декан,d-i-k-'a-n,dʲ-E-k-'a-n,,
546,Avar,avar1256,декла́рация,,Gimbatov 2006,декларация,d-e-k-l-a-r-'a-ts-i-j-a,dʲ-E-k-l-A-r-'a-ts-I-j-A,,
547,Botlikh_Al,botl1242,диклара́ци,noun,"Alekseev, Azayev 2019",декларация,d-i-k-l-a-r-'a-ts-i-0-0,dʲ-E-k-l-A-r-'a-ts-I-j-A,,
548,Avar,avar1256,декора́ция,,Gimbatov 2006,декорация,d-e-k-o-r-'a-ts-i-j-a,dʲ-E-k-O-r-'a-ts-I-j-A,,
549,Botlikh_Al,botl1242,ди́караци,noun,"Alekseev, Azayev 2019",декорация,d-'i-k-a-r-a-ts-i-0-0,dʲ-E-k-O-r-'a-ts-I-j-A,,
550,Avar,avar1256,декрéт,,Gimbatov 2006,декрет,d-e-k-r-'e-t,dʲ-E-k-rʲ-'e-t,,
551,Botlikh,botl1242,декре́т,noun,"Saidova, Abusov 2012",декрет,d-e-k-r-'e-t,dʲ-E-k-rʲ-'e-t,,
552,Botlikh_Al,botl1242,дикре́т,noun,"Alekseev, Azayev 2019",декрет,d-i-k-r-'e-t,dʲ-E-k-rʲ-'e-t,,
553,Avar,avar1256,делега́т,,Gimbatov 2006,делегат,d-e-l-e-g-'a-t,dʲ-E-lʲ-E-g-'a-t,,
554,Bagvalal,bagv1239,ДЕЛЕГÁТ,,Magomedova 2004,делегат,d-e-l-e-ɡ-'a-t,dʲ-E-lʲ-E-g-'a-t,,
555,Botlikh,botl1242,делега́т,,"Saidova, Abusov 2012",делегат,d-e-l-e-ɡ-'a-t,dʲ-E-lʲ-E-g-'a-t,,
556,Botlikh_Al,botl1242,дилига́т,noun,"Alekseev, Azayev 2019",делегат,d-i-l-i-ɡ-'a-t,dʲ-E-lʲ-E-g-'a-t,,
557,Godoberi,ghod1238,ДЕЛЕГÁТ,,Saidova 2006,делегат,d-e-l-e-ɡ-'a-t,dʲ-E-lʲ-E-g-'a-t,,
558,Avar,avar1256,делега́ция,,Gimbatov 2006,делегация,d-e-l-e-g-'a-ts-i-j-a,dʲ-E-lʲ-E-g-'a-ts-I-j-A,,
559,Botlikh,botl1242,делега́ций(а),,"Saidova, Abusov 2012",делегация,d-e-l-e-ɡ-'a-ts-i-j-a,dʲ-E-lʲ-E-g-'a-ts-I-j-A,,
560,Botlikh_Al,botl1242,дилига́ци,,"Alekseev, Azayev 2019",делегация,d-i-l-i-ɡ-'a-ts-i-0-0,dʲ-E-lʲ-E-g-'a-ts-I-j-A,,
561,Godoberi,ghod1238,ДЕЛЕГÁЦИ(ЙА),,Saidova 2006,делегация,d-e-l-e-ɡ-'a-ts-i-j-a,dʲ-E-lʲ-E-g-'a-ts-I-j-A,,
562,Botlikh_Al,botl1242,демократически,,"Alekseev, Azayev 2019",демократический,d-e-m-o-k-r-a-t-i-tʃ-e-s-k-i-0,dʲ-E-m-O-k-r-A-tʲ-'i-tɕ-E-s-kʲ-I-j,,
563,Avar,avar1256,демонстра́ция,,Gimbatov 2006,демонстрация,d-e-m-o-n-s-t-r-'a-ts-i-j-a,dʲ-E-m-O-n-s-t-r-'a-ts-I-j-A,,
564,Botlikh_Al,botl1242,демонстра́ци,,"Alekseev, Azayev 2019",демонстрация,d-e-m-o-n-s-t-r-'a-ts-i-0-0,dʲ-E-m-O-n-s-t-r-'a-ts-I-j-A,,
565,Avar,avar1256,депута́т,,Gimbatov 2006,депутат,d-e-p-u-t-'a-t,dʲ-E-p-U-t-'a-t,,
566,Bagvalal,bagv1239,ДЕПУТÁТ,,Magomedova 2004,депутат,d-e-p-u-t-'a-t,dʲ-E-p-U-t-'a-t,,
567,Botlikh,botl1242,депута́т,noun,"Saidova, Abusov 2012",депутат,d-e-p-u-t-'a-t,dʲ-E-p-U-t-'a-t,,
568,Botlikh_Al,botl1242,дипута́т,noun,"Alekseev, Azayev 2019",депутат,d-i-p-u-t-'a-t,dʲ-E-p-U-t-'a-t,,
569,Godoberi,ghod1238,ДИПУТÁТ,,Saidova 2006,депутат,d-i-p-u-t-'a-t,dʲ-E-p-U-t-'a-t,,
570,Godoberi,ghod1238,ДЕПУТÁТ/И,,Saidova 2006,депутат,d-e-p-u-t-'a-t-i,dʲ-E-p-U-t-'a-t-0,,
571,Avar,avar1256,деса́нт,,Gimbatov 2006,десант,d-e-s-'a-n-t,dʲ-E-s-'a-n-t,,
572,Botlikh_Al,botl1242,диса́нт,noun,"Alekseev, Azayev 2019",десант,d-i-s-'a-n-t,dʲ-E-s-'a-n-t,,
573,Avar,avar1256,децимéтр,,Gimbatov 2006,дециметр,d-e-ts-i-m-'e-t-r,dʲ-E-ts-I-mʲ-'e-t-r,,
574,Botlikh_Al,botl1242,дицци́метра,noun,"Alekseev, Azayev 2019",дециметр,d-i-tsː-'i-m-e-t-r-a,dʲ-E-ts-I-mʲ-'e-t-r-0,,
575,Avar,avar1256,дежýрны/й,,Gimbatov 2006,дежурный,d-e-ʒ-'u-r-n-i-j,dʲ-E-ʐ-'u-r-n-I-j,,
576,Bagvalal,bagv1239,ДИЖ́УРНА,,Magomedova 2004,дежурный,d-i-ʒ-'u-r-n-a-0,dʲ-E-ʐ-'u-r-n-I-j,,
577,Botlikh,botl1242,дежу́рни,noun,"Saidova, Abusov 2012",дежурный,d-e-ʒ-'u-r-n-i-0,dʲ-E-ʐ-'u-r-n-I-j,,
578,Godoberi,ghod1238,ДИЖУ́РНИ,,Saidova 2006,дежурный,d-i-ʒ-'u-r-n-i-0,dʲ-E-ʐ-'u-r-n-I-j,,
579,Avar,avar1256,диагнóз,,Gimbatov 2006,диагноз,d-i-'a-g-n-o-z,dʲ-I-'a-g-n-O-Z,,
580,Botlikh_Al,botl1242,диа́гноз,noun,"Alekseev, Azayev 2019",диагноз,d-i-'a-ɡ-n-o-z,dʲ-I-'a-g-n-O-Z,,
581,Botlikh_Al,botl1242,ди́птири,noun,"Alekseev, Azayev 2019",дифтерия,d-'i-p-t-i-r-i-0-0,dʲ-I-f-tʲ-E-rʲ-'i-j-A,,
582,Avar,avar1256,диéта,,Gimbatov 2006,диета,d-i-j-'e-t-a,dʲ-I-j-'e-t-A,,
583,Botlikh_Al,botl1242,дийе́та,noun,"Alekseev, Azayev 2019",диета,d-i-j-'e-t-a,dʲ-I-j-'e-t-A,,
584,Avar,avar1256,дикта́нт,,Gimbatov 2006,диктант,d-i-k-t-'a-n-t,dʲ-I-k-t-'a-n-t,,
585,Bagvalal,bagv1239,ДИКТÁНТ,,Magomedova 2004,диктант,d-i-k-t-'a-n-t,dʲ-I-k-t-'a-n-t,,
586,Botlikh_Al,botl1242,дикта́нт,noun,"Alekseev, Azayev 2019",диктант,d-i-k-t-'a-n-t,dʲ-I-k-t-'a-n-t,,
587,Botlikh,botl1242,дикта́нт,noun,"Saidova, Abusov 2012",диктант,d-i-k-t-'a-n-t,dʲ-I-k-t-'a-n-t,,
588,Avar,avar1256,диктатóр,,Gimbatov 2006,диктатор,d-i-k-t-'a-t-o-r,dʲ-I-k-t-'a-t-O-r,,
589,Botlikh_Al,botl1242,дикта́тор,noun,"Alekseev, Azayev 2019",диктатор,d-i-k-t-'a-t-o-r,dʲ-I-k-t-'a-t-O-r,,
590,Botlikh_Al,botl1242,дина́мик,noun,"Alekseev, Azayev 2019",динамик,d-i-n-'a-m-i-k,dʲ-I-n-'a-mʲ-I-k,,
591,Avar,avar1256,динамѝт,,Gimbatov 2006,динамит,d-i-n-a-m-'i-t,dʲ-I-n-A-mʲ-'i-t,,
592,Botlikh_Al,botl1242,ди́намит,noun,"Alekseev, Azayev 2019",динамит,d-'i-n-a-m-i-t,dʲ-I-n-A-mʲ-'i-t,,
593,Avar,avar1256,диплóм,,Gimbatov 2006,диплом,d-i-p-l-'o-m,dʲ-I-p-l-'o-m,,
594,Botlikh_Al,botl1242,дипло́м,noun,"Alekseev, Azayev 2019",диплом,d-i-p-l-'o-m,dʲ-I-p-l-'o-m,,
595,Avar,avar1256,диплома́т,,Gimbatov 2006,дипломат,d-i-p-l-o-m-'a-t,dʲ-I-p-l-O-m-'a-t,,
596,Botlikh_Al,botl1242,ди́пламат,noun,"Alekseev, Azayev 2019",дипломат,d-'i-p-l-a-m-a-t,dʲ-I-p-l-O-m-'a-t,,
597,Avar,avar1256,дирéктор,,Gimbatov 2006,директор,d-i-r-'e-k-t-o-r,dʲ-I-rʲ-'e-k-t-O-r,,
598,Bagvalal,bagv1239,ДЕРÉКТУР,,Magomedova 2004,директор,d-e-r-'e-k-t-u-r,dʲ-I-rʲ-'e-k-t-O-r,,
599,Botlikh,botl1242,дере́ктор,,"Saidova, Abusov 2012",директор,d-e-r-'e-k-t-o-r,dʲ-I-rʲ-'e-k-t-O-r,,
600,Botlikh_Al,botl1242,дире́ктор,noun,"Alekseev, Azayev 2019",директор,d-i-r-'e-k-t-o-r,dʲ-I-rʲ-'e-k-t-O-r,,
601,Godoberi,ghod1238,ДЕРÉКТОР,,Saidova 2006,директор,d-e-r-'e-k-t-o-r,dʲ-I-rʲ-'e-k-t-O-r,,
602,Avar,avar1256,дирéкция,,Gimbatov 2006,дирекция,d-i-r-'e-k-ts-i-j-a,dʲ-I-rʲ-'e-k-ts-I-j-A,,
603,Botlikh_Al,botl1242,дире́кци,noun,"Alekseev, Azayev 2019",дирекция,d-i-r-'e-k-ts-i-0-0,dʲ-I-rʲ-'e-k-ts-I-j-A,,
604,Botlikh_Al,botl1242,диржа́бил,noun,"Alekseev, Azayev 2019",дирижабль,d-i-r-0-ʒ-'a-b-i-l,dʲ-I-rʲ-I-ʐ-'a-b-0-lʲ,,
605,Avar,avar1256,дирижа́бл/ь,,Gimbatov 2006,дирижабль,d-i-r-i-ʒ-'a-b-l,dʲ-I-rʲ-I-ʐ-'a-b-lʲ,,
606,Botlikh_Al,botl1242,дирижи́роват игьи́,verb,"Alekseev, Azayev 2019",дирижировать,d-i-r-i-ʒ-'i-r-o-w-a-t,dʲ-I-rʲ-I-ʐ-'i-r-O-v-A-tʲ,,
607,Avar,avar1256,дирижёр,,Gimbatov 2006,дирижёр,d-i-r-i-ʒ-'o-r,dʲ-I-rʲ-I-ʐ-'o-r,,
608,Botlikh_Al,botl1242,дирижо́р,noun,"Alekseev, Azayev 2019",дирижёр,d-i-r-i-ʒ-'o-r,dʲ-I-rʲ-I-ʐ-'o-r,,
609,Avar,avar1256,диск,,Gimbatov 2006,диск,d-i-s-k,dʲ-'i-s-k,,
610,Botlikh_Al,botl1242,диску́си,noun,"Alekseev, Azayev 2019",дискуссия,d-i-s-k-'u-s-i-0-0,dʲ-I-s-k-'u-sʲ-I-j-A,,
611,Avar,avar1256,диссерта́ция,,Gimbatov 2006,диссертация,d-i-sː-s-e-r-t-'a-ts-i-j-a,dʲ-I-sʲ-sʲ-E-r-t-'a-ts-I-j-A,,
612,Botlikh_Al,botl1242,дисссерта́ци,noun,"Alekseev, Azayev 2019",диссертация,d-i-sː-s-e-r-t-'a-ts-i-0-0,dʲ-I-sʲ-sʲ-E-r-t-'a-ts-I-j-A,,
613,Andi,andi1255,диван,,Salimov 2010,диван,d-i-w-a-n,dʲ-I-v-'a-n,,
615,Avar,avar1256,дива́н,,Gimbatov 2006,диван,d-i-w-'a-n,dʲ-I-v-'a-n,,
616,Bagvalal,bagv1239,ДИВÁН²,,Magomedova 2004,диван,d-i-w-'a-n,dʲ-I-v-'a-n,,
617,Botlikh_Al,botl1242,дива́н,noun,"Alekseev, Azayev 2019",диван,d-i-w-'a-n,dʲ-I-v-'a-n,,
618,Botlikh,botl1242,дива́н,noun,"Saidova, Abusov 2012",диван,d-i-w-'a-n,dʲ-I-v-'a-n,,
619,Godoberi,ghod1238,ДИВÁН,,Saidova 2006,диван,d-i-w-'a-n,dʲ-I-v-'a-n,,
620,Karata-Tukita,kara1474,ДИВА'Н¹,,"Magomedova, Khalidova 2001",диван,d-i-w-'a-n,dʲ-I-v-'a-n,,
621,Tindi,tind1238,ДИВÁН²,,Magomedova 2003,диван,d-i-w-'a-n,dʲ-I-v-'a-n,,
622,Avar,avar1256,дивéрсия,,Gimbatov 2006,диверсия,d-i-w-'e-r-s-i-j-a,dʲ-I-vʲ-'e-r-sʲ-I-j-A,,
623,Botlikh_Al,botl1242,диве́рси,noun,"Alekseev, Azayev 2019",диверсия,d-i-w-'e-r-s-i-0-0,dʲ-I-vʲ-'e-r-sʲ-I-j-A,,
624,Avar,avar1256,дивѝзия,,Gimbatov 2006,дивизия,d-i-w-'i-z-i-j-a,dʲ-I-vʲ-'i-zʲ-I-j-A,,
625,Botlikh_Al,botl1242,диви́зи,noun,"Alekseev, Azayev 2019",дивизия,d-i-w-'i-z-i-0-0,dʲ-I-vʲ-'i-zʲ-I-j-A,,
626,Avar,avar1256,диверса́нт,,Gimbatov 2006,диверсант,d-i-w-e-r-s-'a-n-t,dʲ-I-vʲ-E-r-s-'a-n-t,,
627,Botlikh_Al,botl1242,ди́вирсант,noun,"Alekseev, Azayev 2019",диверсант,d-'i-w-i-r-s-a-n-t,dʲ-I-vʲ-E-r-s-'a-n-t,,
628,Botlikh_Al,botl1242,дизинтири́,noun,"Alekseev, Azayev 2019",дизентерия,d-i-z-i-n-t-i-r-'i-0-0,dʲ-I-zʲ-E-n-tʲ-E-r-'i-j-A,,
629,Botlikh_Al,botl1242,джаз,noun,"Alekseev, Azayev 2019",джаз,dʒ-a-z,dʐ-'a-Z,,
630,Avar,avar1256,джаз,,Gimbatov 2006,джаз,dʒ-a-z,dʐ-'a-Z,,
631,Avar,avar1256,джем,,Gimbatov 2006,джем,dʒ-e-m,dʐ-'e-m,,
632,Botlikh_Al,botl1242,джем,noun,"Alekseev, Azayev 2019",джем,dʒ-e-m,dʐ-'e-m,,
633,Avar,avar1256,джéмпер,,Gimbatov 2006,джемпер,dʒ-'e-m-p-e-r,dʐ-'e-m-pʲ-E-r,,
634,Botlikh_Al,botl1242,дже́мпир,noun,"Alekseev, Azayev 2019",джемпер,dʒ-'e-m-p-i-r,dʐ-'e-m-pʲ-E-r,,
635,Avar,avar1256,экра́н,,Gimbatov 2006,экран,e-k-r-'a-n,E-k-r-'a-n,,
636,Botlikh_Al,botl1242,икра́,noun,"Alekseev, Azayev 2019",экран,i-k-r-'a-0,E-k-r-'a-n,,
637,Avar,avar1256,экскýрсия,,Gimbatov 2006,экскурсия,e-k-s-k-'u-r-s-i-j-a,E-k-s-k-'u-r-sʲ-I-j-A,,
638,Botlikh_Al,botl1242,эску́рси,noun,"Alekseev, Azayev 2019",экскурсия,e-0-s-k-'u-r-s-i-0-0,E-k-s-k-'u-r-sʲ-I-j-A,,
639,Avar,avar1256,экза́мен,,Gimbatov 2006,экзамен,e-k-z-'a-m-e-n,E-k-z-'a-mʲ-E-n,,
640,Botlikh_Al,botl1242,игза́мен,noun,"Alekseev, Azayev 2019",экзамен,i-ɡ-z-'a-m-e-n,E-k-z-'a-mʲ-E-n,,
641,Botlikh,botl1242,игза́мин,noun,"Saidova, Abusov 2012",экзамен,i-ɡ-z-'a-m-i-n,E-k-z-'a-mʲ-E-n,,
642,Godoberi,ghod1238,ИКЗÁМИН,,Saidova 2006,экзамен,i-k-z-'a-m-i-n,E-k-z-'a-mʲ-E-n,,
643,Avar,avar1256,элéктрик,,Gimbatov 2006,электрик,e-l-'e-k-t-r-i-k,E-lʲ-'e-k-t-rʲ-I-k,,
644,Botlikh_Al,botl1242,иле́ктрик,,"Alekseev, Azayev 2019",электрик,i-l-'e-k-t-r-i-k,E-lʲ-'e-k-t-rʲ-I-k,,
645,Avar,avar1256,электростанция,,Gimbatov 2006,электростанция,e-l-e-k-t-r-o-s-t-a-n-ts-i-j-a,E-lʲ-E-k-t-r-O-s-t-'a-n-ts-I-j-A,,
646,Bagvalal,bagv1239,ЭЛЕКТРАСТÁНЦИЙА,,Magomedova 2004,электростанция,e-l-e-k-t-r-a-s-t-'a-n-ts-i-j-a,E-lʲ-E-k-t-r-O-s-t-'a-n-ts-I-j-A,,
647,Botlikh_Al,botl1242,илектраста́нци,,"Alekseev, Azayev 2019",электростанция,i-l-e-k-t-r-a-s-t-'a-n-ts-i-0-0,E-lʲ-E-k-t-r-O-s-t-'a-n-ts-I-j-A,,
648,Godoberi,ghod1238,ЭЛÉКТРОСТАНЦИ,,Saidova 2006,электростанция,e-l-'e-k-t-r-o-s-t-a-n-ts-i-0-0,E-lʲ-E-k-t-r-O-s-t-'a-n-ts-I-j-A,,
649,Botlikh_Al,botl1242,иликтри́чиски,,"Alekseev, Azayev 2019",электрическая,i-l-i-k-t-r-'i-tʃ-i-s-k-i-0,E-lʲ-E-k-t-rʲ-'i-tɕ-E-s-kʲ-I-j,,
650,Avar,avar1256,экскава́тор,,Gimbatov 2006,экскаватор,e-s-k-a-w-'a-t-o-r,E-s-k-A-v-'a-t-O-r,,
651,Botlikh_Al,botl1242,искава́тор,,"Alekseev, Azayev 2019",экскаватор,i-s-k-a-w-'a-t-o-r,E-s-k-A-v-'a-t-O-r,,
652,Avar,avar1256,этажéрка,,Gimbatov 2006,этажерка,e-t-a-ʒ-'e-r-k-a,E-t-A-ʐ-'e-r-k-A,,
653,Botlikh_Al,botl1242,итаже́рка,,"Alekseev, Azayev 2019",этажерка,i-t-a-ʒ-'e-r-k-a,E-t-A-ʐ-'e-r-k-A,,
654,Avar,avar1256,фа́брика,,Gimbatov 2006,фабрика,f-'a-b-r-i-k-a,f-'a-b-rʲ-I-k-A,,
655,Bagvalal,bagv1239,ПÁБРИКА,,Magomedova 2004,фабрика,p-'a-b-r-i-k-a,f-'a-b-rʲ-I-k-A,,
656,Botlikh_Al,botl1242,па́брикIа,noun,"Alekseev, Azayev 2019",фабрика,p-'a-b-r-i-k'-a,f-'a-b-rʲ-I-k-A,,
657,Botlikh,botl1242,па́брикIа,noun,"Saidova, Abusov 2012",фабрика,p-'a-b-r-i-k'-a,f-'a-b-rʲ-I-k-A,,
658,Godoberi,ghod1238,ПÁБРИКЯ,,Saidova 2006,фабрика,p-'a-b-r-i-kʲ-a,f-'a-b-rʲ-I-k-A,,
659,Avar,avar1256,фа́ртук,,Gimbatov 2006,фартук,f-'a-r-t-u-k,f-'a-r-t-U-k,,
660,Bagvalal,bagv1239,ПÁРТУК,,Magomedova 2004,фартук,p-'a-r-t-u-k,f-'a-r-t-U-k,,
661,Botlikh_Al,botl1242,па́ртук,noun,"Alekseev, Azayev 2019",фартук,p-'a-r-t-u-k,f-'a-r-t-U-k,,
662,Botlikh,botl1242,па́ртук,noun,"Saidova, Abusov 2012",фартук,p-'a-r-t-u-k,f-'a-r-t-U-k,,
663,Godoberi,ghod1238,ПÁРТУК/И,,Saidova 2006,фартук,p-'a-r-t-u-kʲ-i,f-'a-r-t-U-k-0,,
664,Akhvakh,akhv1239,по'рма,noun,"Magomedova, Abdulayeva 2007",форма,p-'o-r-m-a,f-'o-r-m-A,,
665,Avar,avar1256,фóрма,,Gimbatov 2006,форма,f-'o-r-m-a,f-'o-r-m-A,,
666,Bagvalal,bagv1239,ПÓРМА,,Magomedova 2004,форма,p-'o-r-m-a,f-'o-r-m-A,,
669,Botlikh,botl1242,по́рм/а,noun,"Saidova, Abusov 2012",форма,p-'o-r-m-a,f-'o-r-m-A,,
671,Botlikh_Al,botl1242,по́рма,noun,"Alekseev, Azayev 2019",форма,p-'o-r-m-a,f-'o-r-m-A,,
673,Chamalal,cham1309,ПОРМА,noun III,Magomedova 1999,форма,p-o-r-m-a,f-'o-r-m-A,,
674,Chamalal,cham1309,ПОРМУ,noun III,Magomedova 1999,форма,p-o-r-m-u,f-'o-r-m-A,,
677,Godoberi,ghod1238,ПÓРМА,,Saidova 2006,форма,p-'o-r-m-a,f-'o-r-m-A,,
679,Tindi,tind1238,ПÓРМА,,Magomedova 2003,форма,p-o-r-m-a,f-'o-r-m-A,,
680,Bagvalal,bagv1239,ПУР́УНТ,,Magomedova 2004,фронт,p-u-r-'u-n-t,f-0-r-'o-n-t,,
